Country,Confirmed,Date,New Cases
Argentina,2162001,2021-03-09 00:00:00+00:00,7307
Argentina,2169694,2021-03-10 00:00:00+00:00,7693
Argentina,2177898,2021-03-11 00:00:00+00:00,8204
Argentina,2185747,2021-03-12 00:00:00+00:00,7849
Argentina,2192025,2021-03-13 00:00:00+00:00,6278
Argentina,2195722,2021-03-14 00:00:00+00:00,3697
Argentina,2201886,2021-03-15 00:00:00+00:00,6164
Argentina,2210121,2021-03-16 00:00:00+00:00,8235
Argentina,2218425,2021-03-17 00:00:00+00:00,8304
Argentina,2226753,2021-03-18 00:00:00+00:00,8328
Argentina,2234913,2021-03-19 00:00:00+00:00,8160
Argentina,2241739,2021-03-20 00:00:00+00:00,6826
Argentina,2245771,2021-03-21 00:00:00+00:00,4032
Argentina,2252172,2021-03-22 00:00:00+00:00,6401
Argentina,2261577,2021-03-23 00:00:00+00:00,9405
Argentina,2269877,2021-03-24 00:00:00+00:00,8300
Argentina,2278115,2021-03-25 00:00:00+00:00,8238
Argentina,2291051,2021-03-26 00:00:00+00:00,12936
Argentina,2301389,2021-03-27 00:00:00+00:00,10338
Argentina,2308597,2021-03-28 00:00:00+00:00,7208
Argentina,2322611,2021-03-29 00:00:00+00:00,14014
Argentina,2332765,2021-03-30 00:00:00+00:00,10154
Argentina,2348821,2021-03-31 00:00:00+00:00,16056
Argentina,2363251,2021-04-01 00:00:00+00:00,14430
Argentina,2373153,2021-04-02 00:00:00+00:00,9902
Argentina,2383537,2021-04-03 00:00:00+00:00,10384
Argentina,2393492,2021-04-04 00:00:00+00:00,9955
Argentina,2407159,2021-04-05 00:00:00+00:00,13667
Argentina,2428029,2021-04-06 00:00:00+00:00,20870
Argentina,2450068,2021-04-07 00:00:00+00:00,22039
Argentina,2473751,2021-04-08 00:00:00+00:00,23683
Argentina,2497881,2021-04-09 00:00:00+00:00,24130
Argentina,2517300,2021-04-10 00:00:00+00:00,19419
Argentina,2532562,2021-04-11 00:00:00+00:00,15262
Argentina,2551999,2021-04-12 00:00:00+00:00,19437
Argentina,2579000,2021-04-13 00:00:00+00:00,27001
Argentina,2604157,2021-04-14 00:00:00+00:00,25157
Argentina,2629156,2021-04-15 00:00:00+00:00,24999
Argentina,2658628,2021-04-16 00:00:00+00:00,29472
Argentina,2677747,2021-04-17 00:00:00+00:00,19119
Argentina,2694014,2021-04-18 00:00:00+00:00,16267
Argentina,2714475,2021-04-19 00:00:00+00:00,20461
Argentina,2743620,2021-04-20 00:00:00+00:00,29145
Argentina,2769552,2021-04-21 00:00:00+00:00,25932
Argentina,2796768,2021-04-22 00:00:00+00:00,27216
Argentina,2824652,2021-04-23 00:00:00+00:00,27884
Argentina,2845872,2021-04-24 00:00:00+00:00,21220
Argentina,2860884,2021-04-25 00:00:00+00:00,15012
Argentina,2879677,2021-04-26 00:00:00+00:00,18793
Argentina,2905172,2021-04-27 00:00:00+00:00,25495
Argentina,2928890,2021-04-28 00:00:00+00:00,23718
Argentina,2954943,2021-04-29 00:00:00+00:00,26053
Argentina,2977363,2021-04-30 00:00:00+00:00,22420
Argentina,2993865,2021-05-01 00:00:00+00:00,16502
Argentina,3005259,2021-05-02 00:00:00+00:00,11394
Argentina,3021179,2021-05-03 00:00:00+00:00,15920
Argentina,3047417,2021-05-04 00:00:00+00:00,26238
Argentina,3071496,2021-05-05 00:00:00+00:00,24079
Argentina,3095582,2021-05-06 00:00:00+00:00,24086
Argentina,3118134,2021-05-07 00:00:00+00:00,22552
Argentina,3136158,2021-05-08 00:00:00+00:00,18024
Argentina,3147740,2021-05-09 00:00:00+00:00,11582
Argentina,3165121,2021-05-10 00:00:00+00:00,17381
Argentina,3191097,2021-05-11 00:00:00+00:00,25976
Argentina,3215572,2021-05-12 00:00:00+00:00,24475
Argentina,3242103,2021-05-13 00:00:00+00:00,26531
Argentina,3269466,2021-05-14 00:00:00+00:00,27363
Argentina,3290935,2021-05-15 00:00:00+00:00,21469
Argentina,3307285,2021-05-16 00:00:00+00:00,16350
Argentina,3335965,2021-05-17 00:00:00+00:00,28680
Argentina,3371508,2021-05-18 00:00:00+00:00,35543
Argentina,3411160,2021-05-19 00:00:00+00:00,39652
Argentina,3447044,2021-05-20 00:00:00+00:00,35884
Argentina,3482512,2021-05-21 00:00:00+00:00,35468
Argentina,3514683,2021-05-22 00:00:00+00:00,32171
Argentina,3539484,2021-05-23 00:00:00+00:00,24801
Argentina,3562135,2021-05-24 00:00:00+00:00,22651
Argentina,3586736,2021-05-25 00:00:00+00:00,24601
Argentina,3622135,2021-05-26 00:00:00+00:00,35399
Argentina,3663215,2021-05-27 00:00:00+00:00,41080
Argentina,3702422,2021-05-28 00:00:00+00:00,39207
Argentina,3732263,2021-05-29 00:00:00+00:00,29841
Argentina,3753609,2021-05-30 00:00:00+00:00,21346
